Route,Screen,Element,Interactive or static,Previous treatment,Updated treatment,Shared token/component,Mobile checked,Desktop checked,Accessibility checked,Notes
work-types.html,Configurable Engine (Work Types),Detail panel,Static,White card + soft shadow,Flat: structural border no shadow,--structural-border/--r-structural/.wt-panel,Yes,Yes,Yes,Information container
work-types.html,Configurable Engine (Work Types),Template tags / status badges / module rows,Static,Flat tags,Unchanged (flat),—,Yes,Yes,Yes,Non-clickable tags kept flat
qa-queue.html,QA / Confirmation,Filter chips (All/Ready/…),Interactive,Flat bordered pill; active=flat green,Resting-light pillow; active=primary pillow,--ctl-*/.qchip,Yes,Yes,Yes,
qa-queue.html,QA / Confirmation,Record list cards,Interactive,Flat card + status left-border,Subtle pillow; status left-border kept; selected=sage-tint,--ctl-*/.q-item,Yes,Yes,Yes,Left-border state cue preserved
qa-queue.html,QA / Confirmation,Approve record (primary),Interactive,Flat green,Primary pillow; disabled=disabled grammar,--ctl-primary-*/--ctl-disabled-*/.da-p,Yes,Yes,Yes,Decisive confirmation action
qa-queue.html,QA / Confirmation,Reopen with reason / resolve actions,Interactive,Flat bordered,Resting-light pillow (strong=ochre edge kept),--ctl-*/.da-o,Yes,Yes,Yes,
qa-queue.html,QA / Confirmation,Requirements / Evidence / data columns,Static,Flat,Unchanged (flat),—,Yes,Yes,Yes,
status-board.html,PM Status Board,Zone / State filters,Interactive,Flat bordered box,Resting-light pillow,--ctl-*/.sel,n/a,Yes,Yes,
status-board.html,PM Status Board,Open Drill Log (primary),Interactive,Flat green,Primary pillow,--ctl-primary-*/.btn-primary,n/a,Yes,Yes,Side-panel action
status-board.html,PM Status Board,View Evidence (secondary),Interactive,Flat bordered,Resting-light pillow,--ctl-*/.btn-ghost,n/a,Yes,Yes,
status-board.html,PM Status Board,54-tile status matrix,Static (selectable),Flat state-coloured tiles,Kept flat (data); selected=strong ring,—,n/a,Yes,Yes,Operational density — not lifted; ring is the selection cue
status-board.html,PM Status Board,Zone progress bars / Selected-Anchor info panel,Static,Flat,Unchanged (flat),—,n/a,Yes,Yes,
tokens.css,Shared,Interactive control grammar tokens,n/a,Absent,Added (ctl/structural/focus/target/motion),tokens.css :root,n/a,n/a,Yes,Central vocabulary; wins the cascade
components.css,Shared,.pillow grammar + tactile .te-btn family,Interactive,Flat te-btn,Six-state pillow grammar,components.css,Yes,Yes,Yes,Opt-in shared classes for Phase 3
capture.css,Shared,.pilesel .ps / .dock .btn / .card,Mixed,Flat,Chips+dock=pillow; card=flat structural,capture.css,Yes,n/a,Yes,Field-capture shell primitives
