Screenshot ID,Walkthrough section,Screen ID,Screen name,Route,User role,Viewport,Prototype state required,PD references,Fidelity,Interaction,Capture status,Notes
pipe-install-field,05 Operator / Capture,pipe-install,Pipe Install,screens/pipe-install.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(drainage — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
flow-test-field,05 Operator / Capture,flow-test,Flow Test,screens/flow-test.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(drainage — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
backfill-inspection-field,05 Operator / Capture,backfill-inspection,Backfill Inspection,screens/backfill-inspection.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),(drainage — roadmap),MEDIUM-FIDELITY,SIMULATED,CAPTURED,Full-page capture
daily-activity-field,05 Operator / Capture,daily-activity,Daily Activity Sheet,screens/daily-activity.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),DAS-1 DAS-5 DAS-6 PDS-DAS,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
spatial-map-operator-field,05 Operator / Capture,spatial-map-operator,Spatial Map · Field,screens/spatial-map-operator.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),PDS-SPM SPM-5,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
safety-docs-field,05 Operator / Capture,safety-docs,Safety Docs,screens/safety-docs.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),SAF-1 PDS-SAF,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
reference-documents-operator-field,05 Operator / Capture,reference-documents-operator,Reference Documents · Field,screens/reference-documents-operator.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),DOC PDS-DOC,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
qa-queue-pm,06 QA & Confirm,qa-queue,QA Queue,screens/qa-queue.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),QA-1 QA-2 QA-3 ALT-1 ALT-2 PDS-QAQ,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
reporting-pm,06 QA & Confirm,reporting,Reporting,screens/reporting.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),RPT-1 RPT-2 RPT-3 RPT-4 RPT-5 PDS-RPT,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
closeout-pm,06 QA & Confirm,closeout,Project Closeout,screens/closeout.html,Project Manager,1440x900,Existing mock/sample data (Benmore + catalogue jobs),CLO-1 CLO-2 CLO-3 PDS-CLO,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
engineer-view-pm,07 Engineer,engineer-view,Engineer View,screens/engineer-view.html,Engineer (client),1440x900,Existing mock/sample data (Benmore + catalogue jobs),ENG-1 ENG-2 ENG-3 ENG-4 PDS-ENG,HIGH-FIDELITY,SIMULATED,CAPTURED,Full-page capture
report-anchor-test-none,08 Work-type / reports,report-anchor-test,Anchor Test Report,screens/report-anchor-test.html,Output (report),1240,Existing mock/sample data (Benmore + catalogue jobs),RPT-5 TST,HIGH-FIDELITY,STATIC,CAPTURED,Full-page capture
report-drill-summary-none,08 Work-type / reports,report-drill-summary,Drill Summary Report,screens/report-drill-summary.html,Output (report),1240,Existing mock/sample data (Benmore + catalogue jobs),RPT-5 DRL,HIGH-FIDELITY,STATIC,CAPTURED,Full-page capture
report-pile-register-none,08 Work-type / reports,report-pile-register,Pile Register Report,screens/report-pile-register.html,Output (report),1240,Existing mock/sample data (Benmore + catalogue jobs),RPT-5 PIL,MEDIUM-FIDELITY,STATIC,CAPTURED,Full-page capture
report-rockfall-register-none,08 Work-type / reports,report-rockfall-register,Rockfall Register Report,screens/report-rockfall-register.html,Output (report),1240,Existing mock/sample data (Benmore + catalogue jobs),(rockfall — roadmap),MEDIUM-FIDELITY,STATIC,CAPTURED,Full-page capture
report-shotcrete-register-none,08 Work-type / reports,report-shotcrete-register,Shotcrete Register Report,screens/report-shotcrete-register.html,Output (report),1240,Existing mock/sample data (Benmore + catalogue jobs),(shotcrete — roadmap),MEDIUM-FIDELITY,STATIC,CAPTURED,Full-page capture
report-borehole-log-none,08 Work-type / reports,report-borehole-log,Borehole Log Report,screens/report-borehole-log.html,Output (report),1240,Existing mock/sample data (Benmore + catalogue jobs),(drilling — roadmap),MEDIUM-FIDELITY,STATIC,CAPTURED,Full-page capture
report-drilling-schedule-none,08 Work-type / reports,report-drilling-schedule,Drilling Schedule Report,screens/report-drilling-schedule.html,Output (report),1240,Existing mock/sample data (Benmore + catalogue jobs),(drilling — roadmap),MEDIUM-FIDELITY,STATIC,CAPTURED,Full-page capture
report-drainage-register-none,08 Work-type / reports,report-drainage-register,Drainage Register Report,screens/report-drainage-register.html,Output (report),1240,Existing mock/sample data (Benmore + catalogue jobs),(drainage — roadmap),MEDIUM-FIDELITY,STATIC,CAPTURED,Full-page capture
module-preview-field,05 Operator / Capture,module-preview,Module Preview,screens/module-preview.html,Operator,390x844,Existing mock/sample data (Benmore + catalogue jobs),PLAT,CONCEPTUAL,STATIC,CAPTURED,Full-page capture
