Screen ID,Screen name,Route,User role,Surface,Spine stage,Fidelity,Interaction status,Active/dormant/superseded,Source file,Related PD IDs,Screenshot,Known limitations,Notes
grout-log,Grout Log,screens/grout-log.html,Operator,Field / mobile,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/grout-log.html,GRT-1 GRT-3 GRT-9 PDS-GRT,screenshots/grout-log__field.png,Bag-count -> volume variance shown; computation illustrative.,Count bags; system computes variance.
anchor-test,Anchor Test Record,screens/anchor-test.html,Operator,Field / mobile,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/anchor-test.html,TST-1 TST-2 TST-3 TST-4 PDS-TST,screenshots/anchor-test__field.png,AI-proposes-from-photo shown; extraction simulated.,AI proposes; operator verifies and commits.
incident,Incident / Near-Miss,screens/incident.html,Operator,Field / mobile,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/incident.html,INC-1 INC-2 INC-3 PDS-INC,screenshots/incident__field.png,Photo-first standalone report; offline shown.,"Photo-first report, available anytime."
torque-log,Install / Torque Log,screens/torque-log.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/torque-log.html,PIL-1 PIL-2 PIL-3 PDS-PIL,screenshots/torque-log__field.png,Piling proof-pair capture; less deeply populated than anchoring.,Torque vs depth to founding.
verticality-cutoff,Verticality & Cut-off,screens/verticality-cutoff.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/verticality-cutoff.html,PIL PDS-PIL,screenshots/verticality-cutoff__field.png,Piling secondary capture; illustrative.,"Two-axis tilt, cut-off and cap."
pin-install,Pin Install Record,screens/pin-install.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/pin-install.html,(rockfall — roadmap),screenshots/pin-install__field.png,Rockfall capture present in prototype but beyond PD V2 proof pair.,"Crest pin depth, grout, serial."
pull-test,Pull Test Record,screens/pull-test.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/pull-test.html,(rockfall — roadmap),screenshots/pull-test__field.png,Rockfall proof-load capture; beyond PD V2 depth.,"Proof load, hold, result."
panel-install,Panel Install Record,screens/panel-install.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/panel-install.html,(rockfall — roadmap),screenshots/panel-install__field.png,Rockfall panel capture; beyond PD V2 depth.,"Overlaps, serials, lot link."
inspection-checklist,Inspection Checklist,screens/inspection-checklist.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/inspection-checklist.html,(rockfall — roadmap),screenshots/inspection-checklist__field.png,Rockfall lot closeout; beyond PD V2 depth.,Lot closeout walkdown.
substrate-inspection,Substrate Inspection,screens/substrate-inspection.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/substrate-inspection.html,(shotcrete — roadmap),screenshots/substrate-inspection__field.png,Shotcrete witness-hold capture; beyond PD V2 depth.,"Prep, mesh, witness hold."
application-record,Application Record,screens/application-record.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/application-record.html,(shotcrete — roadmap),screenshots/application-record__field.png,Shotcrete application capture; beyond PD V2 depth.,"Dockets, nozzleman, test panel."
thickness-check,Thickness Check,screens/thickness-check.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/thickness-check.html,(shotcrete — roadmap),screenshots/thickness-check__field.png,Shotcrete thickness vs threshold; beyond PD V2 depth.,Probe readings vs 100 / 75 mm.
borehole-log,Borehole Log,screens/borehole-log.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/borehole-log.html,(drilling — roadmap),screenshots/borehole-log__field.png,Drilling investigation capture; beyond PD V2 depth.,"Soils, SPT, runs, water."
core-photos,Core Photos,screens/core-photos.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/core-photos.html,(drilling — roadmap),screenshots/core-photos__field.png,Drilling core box register; beyond PD V2 depth.,"Box register, wet and dry."
sample-register,Sample Register,screens/sample-register.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/sample-register.html,(drilling — roadmap),screenshots/sample-register__field.png,Drilling sample custody; beyond PD V2 depth.,"Depth, type, custody."
pipe-install,Pipe Install,screens/pipe-install.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/pipe-install.html,(drainage — roadmap),screenshots/pipe-install__field.png,Drainage pipe capture; beyond PD V2 depth.,"Length, inclination, pipe, collar."
flow-test,Flow Test,screens/flow-test.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/flow-test.html,(drainage — roadmap),screenshots/flow-test__field.png,Drainage flow capture; beyond PD V2 depth.,"L/min at collar, zero permitted."
backfill-inspection,Backfill Inspection,screens/backfill-inspection.html,Operator,Field / mobile,Capture,MEDIUM-FIDELITY,SIMULATED,active,prototype/screens/backfill-inspection.html,(drainage — roadmap),screenshots/backfill-inspection__field.png,Drainage backfill hold; beyond PD V2 depth.,"Layers, before-backfill hold."
daily-activity,Daily Activity Sheet,screens/daily-activity.html,Operator,Field / mobile,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/daily-activity.html,DAS-1 DAS-5 DAS-6 PDS-DAS,screenshots/daily-activity__field.png,Default-day sheet with exception edits; auto-totals illustrative.,Default day; edit exceptions.
spatial-map-operator,Spatial Map · Field,screens/spatial-map-operator.html,Operator,Field / mobile,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/spatial-map-operator.html,PDS-SPM SPM-5,screenshots/spatial-map-operator__field.png,Operator locate-and-continue variant of the map.,Identify anchors and continue work.
safety-docs,Safety Docs,screens/safety-docs.html,Operator,Field / mobile,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/safety-docs.html,SAF-1 PDS-SAF,screenshots/safety-docs__field.png,Read-and-acknowledge active JSA/SWMS.,Read and acknowledge active JSA/SWMS.
reference-documents-operator,Reference Documents · Field,screens/reference-documents-operator.html,Operator,Field / mobile,Capture,HIGH-FIDELITY,SIMULATED,active,prototype/screens/reference-documents-operator.html,DOC PDS-DOC,screenshots/reference-documents-operator__field.png,Field read-only/offline library.,Read-only/offline library for crews.
qa-queue,QA Queue,screens/qa-queue.html,Project Manager,Office / desktop,Confirm,HIGH-FIDELITY,SIMULATED,active,prototype/screens/qa-queue.html,QA-1 QA-2 QA-3 ALT-1 ALT-2 PDS-QAQ,screenshots/qa-queue__pm.png,"Compiled record, requirements, reopen/approve shown; transitions simulated.","Confirm a record, or reopen with a reason."
reporting,Reporting,screens/reporting.html,Project Manager,Office / desktop,Confirm,HIGH-FIDELITY,SIMULATED,active,prototype/screens/reporting.html,RPT-1 RPT-2 RPT-3 RPT-4 RPT-5 PDS-RPT,screenshots/reporting__pm.png,Assemble + release confirmed work; export illustrative.,Assemble and release confirmed work.
closeout,Project Closeout,screens/closeout.html,Project Manager,Office / desktop,Confirm,HIGH-FIDELITY,SIMULATED,active,prototype/screens/closeout.html,CLO-1 CLO-2 CLO-3 PDS-CLO,screenshots/closeout__pm.png,Final checks before archive; assembly illustrative.,Final checks before archive.
engineer-view,Engineer View,screens/engineer-view.html,Engineer (client),Engineer / read-only,Confirm (outward),HIGH-FIDELITY,SIMULATED,active,prototype/screens/engineer-view.html,ENG-1 ENG-2 ENG-3 ENG-4 PDS-ENG,screenshots/engineer-view__pm.png,Confirmed-only read-only engineer surface.,"Confirmed, released work only."
report-anchor-test,Anchor Test Report,screens/report-anchor-test.html,Output (report),Printable report,Output,HIGH-FIDELITY,STATIC,active,prototype/screens/report-anchor-test.html,RPT-5 TST,screenshots/report-anchor-test__none.png,Static printable anchor-test report.,
report-drill-summary,Drill Summary Report,screens/report-drill-summary.html,Output (report),Printable report,Output,HIGH-FIDELITY,STATIC,active,prototype/screens/report-drill-summary.html,RPT-5 DRL,screenshots/report-drill-summary__none.png,Static printable drill summary.,
report-pile-register,Pile Register Report,screens/report-pile-register.html,Output (report),Printable report,Output,MEDIUM-FIDELITY,STATIC,active,prototype/screens/report-pile-register.html,RPT-5 PIL,screenshots/report-pile-register__none.png,Static printable pile register.,
report-rockfall-register,Rockfall Register Report,screens/report-rockfall-register.html,Output (report),Printable report,Output,MEDIUM-FIDELITY,STATIC,active,prototype/screens/report-rockfall-register.html,(rockfall — roadmap),screenshots/report-rockfall-register__none.png,Static report beyond PD V2 depth.,
report-shotcrete-register,Shotcrete Register Report,screens/report-shotcrete-register.html,Output (report),Printable report,Output,MEDIUM-FIDELITY,STATIC,active,prototype/screens/report-shotcrete-register.html,(shotcrete — roadmap),screenshots/report-shotcrete-register__none.png,Static report beyond PD V2 depth.,
report-borehole-log,Borehole Log Report,screens/report-borehole-log.html,Output (report),Printable report,Output,MEDIUM-FIDELITY,STATIC,active,prototype/screens/report-borehole-log.html,(drilling — roadmap),screenshots/report-borehole-log__none.png,Static report beyond PD V2 depth.,
report-drilling-schedule,Drilling Schedule Report,screens/report-drilling-schedule.html,Output (report),Printable report,Output,MEDIUM-FIDELITY,STATIC,active,prototype/screens/report-drilling-schedule.html,(drilling — roadmap),screenshots/report-drilling-schedule__none.png,Static report beyond PD V2 depth.,
report-drainage-register,Drainage Register Report,screens/report-drainage-register.html,Output (report),Printable report,Output,MEDIUM-FIDELITY,STATIC,active,prototype/screens/report-drainage-register.html,(drainage — roadmap),screenshots/report-drainage-register__none.png,Static report beyond PD V2 depth.,
module-preview,Module Preview,screens/module-preview.html,Operator,Field / mobile,Output,CONCEPTUAL,STATIC,active,prototype/screens/module-preview.html,PLAT,screenshots/module-preview__field.png,Generic module preview reached from the explainer.,
