Screenshot ID,Filename,Section,Screen ID,Screen name,Route,User role,Viewport,Capture date,Prototype data type,Fidelity,Interaction status,Redaction performed,PD references,Notes
flow-test-field,flow-test__field.png,05 Operator / Capture,flow-test,Flow Test,screens/flow-test.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(drainage — roadmap),
backfill-inspection-field,backfill-inspection__field.png,05 Operator / Capture,backfill-inspection,Backfill Inspection,screens/backfill-inspection.html,Operator,390x844,2026-07-17,Mock/sample,MEDIUM-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",(drainage — roadmap),
daily-activity-field,daily-activity__field.png,05 Operator / Capture,daily-activity,Daily Activity Sheet,screens/daily-activity.html,Operator,390x844,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",DAS-1 DAS-5 DAS-6 PDS-DAS,
spatial-map-operator-field,spatial-map-operator__field.png,05 Operator / Capture,spatial-map-operator,Spatial Map · Field,screens/spatial-map-operator.html,Operator,390x844,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",PDS-SPM SPM-5,
safety-docs-field,safety-docs__field.png,05 Operator / Capture,safety-docs,Safety Docs,screens/safety-docs.html,Operator,390x844,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",SAF-1 PDS-SAF,
reference-documents-operator-field,reference-documents-operator__field.png,05 Operator / Capture,reference-documents-operator,Reference Documents · Field,screens/reference-documents-operator.html,Operator,390x844,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",DOC PDS-DOC,
qa-queue-pm,qa-queue__pm.png,06 QA & Confirm,qa-queue,QA Queue,screens/qa-queue.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",QA-1 QA-2 QA-3 ALT-1 ALT-2 PDS-QAQ,
reporting-pm,reporting__pm.png,06 QA & Confirm,reporting,Reporting,screens/reporting.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",RPT-1 RPT-2 RPT-3 RPT-4 RPT-5 PDS-RPT,
closeout-pm,closeout__pm.png,06 QA & Confirm,closeout,Project Closeout,screens/closeout.html,Project Manager,1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",CLO-1 CLO-2 CLO-3 PDS-CLO,
engineer-view-pm,engineer-view__pm.png,07 Engineer,engineer-view,Engineer View,screens/engineer-view.html,Engineer (client),1440x900,2026-07-17,Mock/sample,HIGH-FIDELITY,SIMULATED,"None required (mock data, no PII/credentials)",ENG-1 ENG-2 ENG-3 ENG-4 PDS-ENG,
report-anchor-test-none,report-anchor-test__none.png,08 Work-type / reports,report-anchor-test,Anchor Test Report,screens/report-anchor-test.html,Output (report),1240,2026-07-17,Mock/sample,HIGH-FIDELITY,STATIC,"None required (mock data, no PII/credentials)",RPT-5 TST,
report-drill-summary-none,report-drill-summary__none.png,08 Work-type / reports,report-drill-summary,Drill Summary Report,screens/report-drill-summary.html,Output (report),1240,2026-07-17,Mock/sample,HIGH-FIDELITY,STATIC,"None required (mock data, no PII/credentials)",RPT-5 DRL,
report-pile-register-none,report-pile-register__none.png,08 Work-type / reports,report-pile-register,Pile Register Report,screens/report-pile-register.html,Output (report),1240,2026-07-17,Mock/sample,MEDIUM-FIDELITY,STATIC,"None required (mock data, no PII/credentials)",RPT-5 PIL,
report-rockfall-register-none,report-rockfall-register__none.png,08 Work-type / reports,report-rockfall-register,Rockfall Register Report,screens/report-rockfall-register.html,Output (report),1240,2026-07-17,Mock/sample,MEDIUM-FIDELITY,STATIC,"None required (mock data, no PII/credentials)",(rockfall — roadmap),
report-shotcrete-register-none,report-shotcrete-register__none.png,08 Work-type / reports,report-shotcrete-register,Shotcrete Register Report,screens/report-shotcrete-register.html,Output (report),1240,2026-07-17,Mock/sample,MEDIUM-FIDELITY,STATIC,"None required (mock data, no PII/credentials)",(shotcrete — roadmap),
report-borehole-log-none,report-borehole-log__none.png,08 Work-type / reports,report-borehole-log,Borehole Log Report,screens/report-borehole-log.html,Output (report),1240,2026-07-17,Mock/sample,MEDIUM-FIDELITY,STATIC,"None required (mock data, no PII/credentials)",(drilling — roadmap),
report-drilling-schedule-none,report-drilling-schedule__none.png,08 Work-type / reports,report-drilling-schedule,Drilling Schedule Report,screens/report-drilling-schedule.html,Output (report),1240,2026-07-17,Mock/sample,MEDIUM-FIDELITY,STATIC,"None required (mock data, no PII/credentials)",(drilling — roadmap),
report-drainage-register-none,report-drainage-register__none.png,08 Work-type / reports,report-drainage-register,Drainage Register Report,screens/report-drainage-register.html,Output (report),1240,2026-07-17,Mock/sample,MEDIUM-FIDELITY,STATIC,"None required (mock data, no PII/credentials)",(drainage — roadmap),
module-preview-field,module-preview__field.png,05 Operator / Capture,module-preview,Module Preview,screens/module-preview.html,Operator,390x844,2026-07-17,Mock/sample,CONCEPTUAL,STATIC,"None required (mock data, no PII/credentials)",PLAT,
